Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
116,2020-04-29,0.9999098303808894,5.608570903182657e-05,3.0090863882844523e-05,3.993046195860357e-06,37454598.428571425,2100.8571428571427,1127.142857142857,149.57142857142858,0.0,0.0,1.1
117,2020-04-30,0.9999052080580725,5.8320594486243155e-05,3.23943976959292e-05,4.076949745343574e-06,37454425.28571428,2184.5714285714284,1213.4285714285713,152.71428571428572,0.0,0.0,1.1
118,2020-05-01,0.9999005857352554,6.055547994065975e-05,3.469793150901388e-05,4.160853294826791e-06,37454252.14285714,2268.285714285714,1299.7142857142858,155.85714285714286,0.0,0.0,1.1
119,2020-05-02,0.9998959634124385,6.279036539507634e-05,3.7001465322098555e-05,4.2447568443100074e-06,37454079.0,2352.0,1386.0,159.0,0.0,0.0,1.1
120,2020-05-03,0.9998927903327488,6.16157157023113e-05,4.129580153655774e-05,4.298150012162963e-06,37453960.14285714,2308.0,1546.857142857143,161.0,0.0,0.0,1.1
121,2020-05-04,0.9998896172530595,6.0441066009546265e-05,4.5590137751016915e-05,4.351543180015919e-06,37453841.28571428,2264.0,1707.7142857142858,163.0,0.0,0.0,1.1
122,2020-05-05,0.9998864441733699,5.926641631678123e-05,4.9884473965476105e-05,4.404936347868876e-06,37453722.428571425,2220.0,1868.5714285714287,165.0,0.0,0.0,1.1
123,2020-05-06,0.9998832710936804,5.8091766624016205e-05,5.417881017993528e-05,4.458329515721832e-06,37453603.571428575,2176.0,2029.4285714285713,167.0,0.0,0.0,1.1
124,2020-05-07,0.9998800980139907,5.691711693125117e-05,5.8473146394394465e-05,4.511722683574788e-06,37453484.71428572,2132.0,2190.285714285714,169.0,0.0,0.0,1.1
125,2020-05-08,0.9998769249343012,5.574246723848614e-05,6.276748260885364e-05,4.565115851427743e-06,37453365.85714286,2088.0,2351.1428571428573,171.0,0.0,0.0,1.1
126,2020-05-09,0.9998737518546117,5.4567817545721105e-05,6.706181882331282e-05,4.6185090192807e-06,37453247.0,2044.0,2512.0,173.0,0.0,0.0,1.1
127,2020-05-10,0.9998692477595236,5.444958981690385e-05,7.163456227014812e-05,4.668088389429873e-06,37453078.28571428,2039.5714285714287,2683.285714285714,174.85714285714286,0.0,0.0,1.1
128,2020-05-11,0.9998647436644353,5.4331362088086584e-05,7.620730571698344e-05,4.717667759579046e-06,37452909.571428575,2035.142857142857,2854.5714285714284,176.71428571428572,0.0,0.0,1.1
129,2020-05-12,0.9998602395693472,5.421313435926933e-05,8.078004916381875e-05,4.76724712972822e-06,37452740.85714286,2030.7142857142858,3025.8571428571427,178.57142857142858,0.0,0.0,1.1
