Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
102,2020-04-15,0.999883520016179,0.0,0.0,0.0001164799838210541,67805101.14285715,0.0,0.0,7898.857142857143,0.0,0.0,5.98
103,2020-04-16,0.9998764754334923,0.0,0.0,0.0001235245665074754,67804623.42857143,0.0,0.0,8376.57142857143,0.0,0.0,5.98
104,2020-04-17,0.999869430850806,0.0,0.0,0.00013056914919389666,67804145.71428572,0.0,0.0,8854.285714285714,0.0,0.0,5.98
105,2020-04-18,0.9998623862681196,0.0,0.0,0.00013761373188031793,67803668.0,0.0,0.0,9332.0,0.0,0.0,5.98
106,2020-04-19,0.9998566351584505,0.0,0.0,0.00014336484154955537,67803278.0,0.0,0.0,9722.0,0.0,0.0,5.98
107,2020-04-20,0.9998508840487812,0.0,0.0,0.00014911595121879284,67802888.0,0.0,0.0,10112.0,0.0,0.0,5.98
108,2020-04-21,0.9998451329391119,0.0,0.0,0.0001548670608880303,67802498.0,0.0,0.0,10502.0,0.0,0.0,5.98
109,2020-04-22,0.9998393818294427,0.0,0.0,0.00016061817055726778,67802108.0,0.0,0.0,10892.0,0.0,0.0,5.98
110,2020-04-23,0.9998336307197734,0.0,0.0,0.00016636928022650523,67801718.0,0.0,0.0,11282.0,0.0,0.0,5.98
111,2020-04-24,0.9998278796101043,0.0,0.0,0.0001721203898957427,67801328.0,0.0,0.0,11672.0,0.0,0.0,5.98
112,2020-04-25,0.9998221285004351,0.0,0.0,0.00017787149956498017,67800938.0,0.0,0.0,12062.0,0.0,0.0,5.98
113,2020-04-26,0.9998177129964546,0.0,0.0,0.0001822870035454643,67800638.57142857,0.0,0.0,12361.42857142857,0.0,0.0,5.98
114,2020-04-27,0.999813297492474,0.0,0.0,0.00018670250752594848,67800339.14285715,0.0,0.0,12660.857142857143,0.0,0.0,5.98
115,2020-04-28,0.9998088819884936,0.0,0.0,0.0001911180115064326,67800039.71428572,0.0,0.0,12960.285714285714,0.0,0.0,5.98
116,2020-04-29,0.9998044664845132,0.0,0.0,0.00019553351548691676,67799740.28571428,0.0,0.0,13259.714285714286,0.0,0.0,5.98
117,2020-04-30,0.9998000509805326,0.0,0.0,0.00019994901946740088,67799440.85714285,0.0,0.0,13559.142857142857,0.0,0.0,5.98
118,2020-05-01,0.999795635476552,0.0,0.0,0.00020436452344788506,67799141.42857143,0.0,0.0,13858.57142857143,0.0,0.0,5.98
119,2020-05-02,0.9997912199725716,0.0,0.0,0.0002087800274283692,67798842.0,0.0,0.0,14158.0,0.0,0.0,5.98
