Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
126,2020-05-09,0.9964543197242592,0.0005657931965650562,0.0024935857687131318,0.00048630131046261603,58828144.0,33403.0,147215.0,28710.0,0.0,0.0,3.18
127,2020-05-10,0.9963028904760691,0.00038817719024283426,0.002794089828236548,0.0005148425054514529,58819204.0,22917.0,164956.0,30395.0,0.0,0.0,3.18
128,2020-05-11,0.9963028904760691,0.00038817719024283426,0.002794089828236548,0.0005148425054514529,58819204.0,22917.0,164956.0,30395.0,0.0,0.0,3.18
129,2020-05-12,0.9963028904760691,0.00038817719024283426,0.002794089828236548,0.0005148425054514529,58819204.0,22917.0,164956.0,30395.0,0.0,0.0,3.18
130,2020-05-13,0.9963028904760691,0.00038817719024283426,0.002794089828236548,0.0005148425054514529,58819204.0,22917.0,164956.0,30395.0,0.0,0.0,3.18
131,2020-05-14,0.9963028904760691,0.00038817719024283426,0.002794089828236548,0.0005148425054514529,58819204.0,22917.0,164956.0,30395.0,0.0,0.0,3.18
132,2020-05-15,0.9963028904760691,0.00038817719024283426,0.002794089828236548,0.0005148425054514529,58819204.0,22917.0,164956.0,30395.0,0.0,0.0,3.18
133,2020-05-16,0.9963028904760691,0.00038817719024283426,0.002794089828236548,0.0005148425054514529,58819204.0,22917.0,164956.0,30395.0,0.0,0.0,3.18
134,2020-05-17,0.9961929264179875,0.0002613933062716507,0.003007666046405239,0.000538014229335565,58812712.0,15432.0,177565.0,31763.0,0.0,0.0,3.18
135,2020-05-18,0.9961929264179875,0.0002613933062716507,0.003007666046405239,0.000538014229335565,58812712.0,15432.0,177565.0,31763.0,0.0,0.0,3.18
136,2020-05-19,0.9961929264179875,0.0002613933062716507,0.003007666046405239,0.000538014229335565,58812712.0,15432.0,177565.0,31763.0,0.0,0.0,3.18
137,2020-05-20,0.9961929264179875,0.0002613933062716507,0.003007666046405239,0.000538014229335565,58812712.0,15432.0,177565.0,31763.0,0.0,0.0,3.18
138,2020-05-21,0.9961929264179875,0.0002613933062716507,0.003007666046405239,0.000538014229335565,58812712.0,15432.0,177565.0,31763.0,0.0,0.0,3.18
139,2020-05-22,0.9961929264179875,0.0002613933062716507,0.003007666046405239,0.000538014229335565,58812712.0,15432.0,177565.0,31763.0,0.0,0.0,3.18
140,2020-05-23,0.9961929264179875,0.0002613933062716507,0.003007666046405239,0.000538014229335565,58812712.0,15432.0,177565.0,31763.0,0.0,0.0,3.18
141,2020-05-24,0.9961155687696113,0.0001873217064578917,0.0031426311749934007,0.0005544783489374341,58808145.0,11059.0,185533.0,32735.0,0.0,0.0,3.18
142,2020-05-25,0.9961155687696113,0.0001873217064578917,0.0031426311749934007,0.0005544783489374341,58808145.0,11059.0,185533.0,32735.0,0.0,0.0,3.18
143,2020-05-26,0.9961155687696113,0.0001873217064578917,0.0031426311749934007,0.0005544783489374341,58808145.0,11059.0,185533.0,32735.0,0.0,0.0,3.18
144,2020-05-27,0.9961155687696113,0.0001873217064578917,0.0031426311749934007,0.0005544783489374341,58808145.0,11059.0,185533.0,32735.0,0.0,0.0,3.18
